seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
38,S100WBTM,E04853,96920,9021001026338,株式会社シーイーシー,,010,170000,220,,,2025-07-09 09:09,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
39,S100VWUS,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G10132,030,04A001,040,,,2025-07-09 09:10,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UWFK,,0,0,0,1,1,1,0,1,1
40,S100WAEW,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G15343,030,04A001,040,,,2025-07-09 09:10,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UESL,,0,0,0,1,1,1,0,1,1
41,S100VP5I,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G04631,030,04A000,030,,,2025-07-09 09:10,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
42,S100W08C,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G12716,030,04A001,040,,,2025-07-09 09:12,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UVLM,,0,0,0,1,1,0,0,1,1
43,S100VP5W,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G09529,030,10A000,160,2024-10-11,2025-10-10,2025-07-09 09:13,半期報告書（内国投資信託受益証券）－第13期(2024/10/11－2025/10/10),,,,,,,0,0,0,1,1,0,0,1,1
44,S100VWVJ,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G12806,030,07A000,120,2024-10-11,2025-04-10,2025-07-09 09:14,有価証券報告書（内国投資信託受益証券）－第15期(2024/10/11－2025/04/10),,,,,,,0,0,0,1,1,1,0,1,1
45,S100VWYZ,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G12716,030,07A000,120,2024-10-11,2025-04-10,2025-07-09 09:14,有価証券報告書（内国投資信託受益証券）－第15期(2024/10/11－2025/04/10),,,,,,,0,0,0,1,1,1,0,1,1
46,S100VWEY,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G13031,030,04A000,030,,,2025-07-09 09:14,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
47,S100VWEZ,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G13031,030,07A000,120,2024-04-11,2025-04-10,2025-07-09 09:18,有価証券報告書（内国投資信託受益証券）－第7期(2024/04/11－2025/04/10),,,,,,,0,0,0,1,1,1,0,1,1
48,S100VP5L,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G09529,030,04A000,030,,,2025-07-09 09:18,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
49,S100W326,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G12806,030,04A001,040,,,2025-07-09 09:22,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UW71,,0,0,0,1,1,0,0,1,1
