要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jpcrp_cor:CashAndCashEquivalentsSummaryOfBusinessResults,現金及び現金同等物の残高、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,54933000000
jpcrp_cor:CashAndCashEquivalentsSummaryOfBusinessResults,現金及び現金同等物の残高、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,256580000000
jpcrp_cor:CashAndCashEquivalentsSummaryOfBusinessResults,現金及び現金同等物の残高、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,369001000000
jpcrp_cor:NumberOfEmployees,従業員数,Prior4YearInstant,四期前時点,その他,時点,pure,,2218
jpcrp_cor:NumberOfEmployees,従業員数,Prior3YearInstant,三期前時点,その他,時点,pure,,2189
jpcrp_cor:NumberOfEmployees,従業員数,Prior2YearInstant,前々期末,その他,時点,pure,,2207
jpcrp_cor:NumberOfEmployees,従業員数,Prior1YearInstant,前期末,その他,時点,pure,,2180
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior4YearInstant,四期前時点,その他,時点,pure,,317
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior3YearInstant,三期前時点,その他,時点,pure,,275
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior2YearInstant,前々期末,その他,時点,pure,,310
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,Prior1YearInstant,前期末,その他,時点,pure,,344
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPY,円,213649000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPY,円,196492000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPY,円,194487000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPY,円,187702000000
