要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jppfs_cor:CurrentPortionOfBonds,１年内償還予定の社債,Prior1YearInstant,前期末,連結,時点,JPY,円,50000000000
jppfs_cor:CurrentPortionOfLongTermLoansPayable,１年内返済予定の長期借入金,Prior1YearInstant,前期末,連結,時点,JPY,円,59069000000
jppfs_cor:LeaseObligationsCL,リース債務、流動負債,Prior1YearInstant,前期末,連結,時点,JPY,円,25327000000
jppfs_cor:IncomeTaxesPayable,未払法人税等,Prior1YearInstant,前期末,連結,時点,JPY,円,10315000000
jpcrp030000-asr_E04002-000:DepositsReceivedFromTenants,,Prior1YearInstant,前期末,その他,時点,JPY,円,54810000000
jppfs_cor:DepositsReceived,預り金,Prior1YearInstant,前期末,連結,時点,JPY,円,7469000000
jppfs_cor:ProvisionForBonuses,賞与引当金,Prior1YearInstant,前期末,連結,時点,JPY,円,1774000000
jpcrp030000-asr_E04002-000:ProvisionForDirectorsRemunerationBasedOnPerformance,,Prior1YearInstant,前期末,その他,時点,JPY,円,48000000
jppfs_cor:ProvisionForLossOnStoreClosing,店舗閉鎖損失引当金,Prior1YearInstant,前期末,連結,時点,JPY,円,1572000000
jppfs_cor:NotesPayableFacilities,設備関係支払手形,Prior1YearInstant,前期末,連結,時点,JPY,円,3093000000
jpcrp030000-asr_E04002-000:ElectronicallyRecordedObligationsOperatingFacilities,,Prior1YearInstant,前期末,その他,時点,JPY,円,7281000000
jppfs_cor:AccountsPayableFacilities,設備関係未払金,Prior1YearInstant,前期末,連結,時点,JPY,円,16750000000
jppfs_cor:OtherCL,その他、流動負債,Prior1YearInstant,前期末,連結,時点,JPY,円,27619000000
jppfs_cor:CurrentLiabilities,流動負債,Prior1YearInstant,前期末,連結,時点,JPY,円,276904000000
jppfs_cor:BondsPayable,社債,Prior1YearInstant,前期末,連結,時点,JPY,円,405000000000
jppfs_cor:LongTermLoansPayable,長期借入金,Prior1YearInstant,前期末,連結,時点,JPY,円,181129000000
jppfs_cor:LeaseObligationsNCL,リース債務、固定負債,Prior1YearInstant,前期末,連結,時点,JPY,円,136691000000
jppfs_cor:DeferredTaxLiabilities,繰延税金負債,Prior1YearInstant,前期末,連結,時点,JPY,円,790000000
jppfs_cor:NetDefinedBenefitLiability,退職給付に係る負債,Prior1YearInstant,前期末,連結,時点,JPY,円,118000000
jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,Prior1YearInstant,前期末,連結,時点,JPY,円,18910000000
jppfs_cor:LongTermGuaranteeDeposited,長期預り保証金,Prior1YearInstant,前期末,連結,時点,JPY,円,152827000000
jpcrp030000-asr_E04002-000:ProvisionForLossOnStoreClosingsNCL,,Prior1YearInstant,前期末,その他,時点,JPY,円,1095000000
jppfs_cor:OtherNCL,その他、固定負債,Prior1YearInstant,前期末,連結,時点,JPY,円,5560000000
jppfs_cor:NoncurrentLiabilities,固定負債,Prior1YearInstant,前期末,連結,時点,JPY,円,902123000000
jppfs_cor:Liabilities,負債,Prior1YearInstant,前期末,連結,時点,JPY,円,1179027000000
jppfs_cor:CapitalStock,資本金,Prior1YearInstant,前期末,連結,時点,JPY,円,42383000000
jppfs_cor:CapitalSurplus,資本剰余金,Prior1YearInstant,前期末,連結,時点,JPY,円,40701000000
jppfs_cor:RetainedEarnings,利益剰余金,Prior1YearInstant,前期末,連結,時点,JPY,円,326301000000
jppfs_cor:TreasuryStock,自己株式,Prior1YearInstant,前期末,連結,時点,JPY,円,-8000000
jppfs_cor:ShareholdersEquity,株主資本,Prior1YearInstant,前期末,連結,時点,JPY,円,409377000000
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Prior1YearInstant,前期末,連結,時点,JPY,円,763000000
jppfs_cor:ForeignCurrencyTranslationAdjustment,為替換算調整勘定,Prior1YearInstant,前期末,連結,時点,JPY,円,54193000000
jppfs_cor:RemeasurementsOfDefinedBenefitPlans,退職給付に係る調整累計額,Prior1YearInstant,前期末,連結,時点,JPY,円,-42000000
jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Prior1YearInstant,前期末,連結,時点,JPY,円,54914000000
jppfs_cor:SubscriptionRightsToShares,新株予約権,Prior1YearInstant,前期末,連結,時点,JPY,円,35000000
jppfs_cor:NonControllingInterests,非支配株主持分,Prior1YearInstant,前期末,連結,時点,JPY,円,11898000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant,前期末,連結,時点,JPY,円,476226000000
jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Prior1YearInstant,前期末,連結,時点,JPY,円,1655253000000
jppfs_cor:OperatingRevenue1,営業収益,Prior1YearDuration,前期,連結,期間,JPY,円,423168000000
jppfs_cor:OperatingCost,営業原価,Prior1YearDuration,前期,連結,期間,JPY,円,341992000000
jppfs_cor:OperatingGrossProfit,営業総利益又は営業総損失（△）,Prior1YearDuration,前期,連結,期間,JPY,円,81175000000
jppfs_cor:EmployeesSalariesAndBonusesSGA,従業員給料及び賞与、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,8290000000
jppfs_cor:ProvisionForBonusesSGA,賞与引当金繰入額、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,902000000
jpcrp030000-asr_E04002-000:ProvisionForDirectorsRemunerationBasedOnPerformanceSGA,,Prior1YearDuration,前期,その他,期間,JPY,円,38000000
jppfs_cor:RetirementBenefitExpensesSGA,退職給付費用、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,198000000
jppfs_cor:LegalAndEmployeeBenefitsExpensesSGA,法定福利及び厚生費、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,2429000000
jppfs_cor:TravelingAndTransportationExpensesSGA,旅費及び交通費、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,999000000
jppfs_cor:RentExpensesSGA,賃借料、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,461000000
jppfs_cor:SalesCommissionSGA,販売手数料、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,3671000000
jppfs_cor:DepreciationSGA,減価償却費、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,1393000000
jppfs_cor:OtherSGA,その他、販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,16377000000
jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,Prior1YearDuration,前期,連結,期間,JPY,円,34763000000
jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Prior1YearDuration,前期,連結,期間,JPY,円,46411000000
jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,2188000000
jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,25000000
jppfs_cor:EquityInEarningsOfAffiliatesNOI,持分法による投資利益、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,242000000
jpcrp030000-asr_E04002-000:PenaltyIncomeFromLeavingTenantsNOI,,Prior1YearDuration,前期,その他,期間,JPY,円,1172000000
jppfs_cor:ForeignExchangeGainsNOI,為替差益、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,90000000
jppfs_cor:GainOnValuationOfDerivativesNOI,デリバティブ評価益、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,530000000
jppfs_cor:SubsidyIncomeNOI,補助金収入、営業外収益,Prior1YearDuration,前期,連結,期間,JPY,円,164000000
